,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,5.0,0.0,2.23606797749979,0.0,9.367007459043085,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.2260757353791627,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.0,0.0,2.0,0.0,276.09242006734394,0.0,276.96788807271923,0.0,276.96788807271923,0.0,276.96788807271923,0.0,276.96788807271923,0.0,276.96788807271923,0.0,276.96788807271923,0.0,276.96788807271923,0.0,276.9184923106924,0.0,276.9184923106924,0.0,,,25.18730647445404,0.0,132.6055722205155,0.0,132.6055722205155,0.0,132.6055722205155,0.0,132.6055722205155,0.0,132.6055722205155,0.0,132.6055722205155,0.0,132.6055722205155,0.0,116.33937714079725,0.0,116.33937714079725,0.0,2.2260757353794043,0.0,2.219960929318547,0.0,2.219960929318547,0.0,2.219960929318547,0.0,2.219960929318547,0.0,2.219960929318547,0.0,2.219960929318547,0.0,2.219960929318547,0.0,1.985681850160215,0.0,1.985681850160215,0.0
Abend,5.0,0.0,2.23606797749979,0.0,9.676152843492018,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,2.2944625872070374,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,289.75021454924945,0.0,290.71095569601584,0.0,290.71095569601584,0.0,290.71095569601584,0.0,290.71095569601584,0.0,290.71095569601584,0.0,290.71095569601584,0.0,290.71095569601584,0.0,290.71095569601584,0.0,290.71095569601584,0.0,,,18.329915886367782,0.0,131.37661414222168,0.0,131.37661414222168,0.0,131.37661414222168,0.0,131.37661414222168,0.0,131.37661414222168,0.0,131.37661414222168,0.0,131.37661414222168,0.0,131.37661414222168,0.0,131.37661414222168,0.0,2.2944625872070854,0.0,2.219960929319179,0.0,2.219960929319179,0.0,2.219960929319179,0.0,2.219960929319179,0.0,2.219960929319179,0.0,2.219960929319179,0.0,2.219960929319179,0.0,2.219960929319179,0.0,2.219960929319179,0.0
Aboln,5.0,0.0,2.23606797749979,0.0,9.442650708829962,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.2430016561364274,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.0,0.0,2.0,0.0,291.8300515352855,0.0,292.8207073937211,0.0,292.8207073937211,0.0,292.8207073937211,0.0,292.8207073937211,0.0,292.8207073937211,0.0,292.8207073937211,0.0,292.8207073937211,0.0,292.7636571116181,0.0,292.7636571116181,0.0,,,26.75405176444471,0.0,132.89894834827464,0.0,132.89894834827464,0.0,132.89894834827464,0.0,132.89894834827464,0.0,132.89894834827464,0.0,132.89894834827464,0.0,132.89894834827464,0.0,116.61608829289366,0.0,116.61608829289366,0.0,2.243001656136647,0.0,2.2199609293193223,0.0,2.2199609293193223,0.0,2.2199609293193223,0.0,2.2199609293193223,0.0,2.2199609293193223,0.0,2.2199609293193223,0.0,2.2199609293193223,0.0,1.9856818501603817,0.0,1.9856818501603817,0.0
Abtäs,5.0,0.0,2.23606797749979,0.0,9.674221728915988,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,2.2940417279371323,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2764.2362783565527,0.0,2765.2737753475626,0.0,2765.2737753475626,0.0,2765.2737753475626,0.0,2765.2737753475626,0.0,2765.2737753475626,0.0,2765.2737753475626,0.0,2765.2737753475626,0.0,2765.2737753475626,0.0,2765.2737753475626,0.0,,,59.44507508943242,0.0,142.8806463461127,0.0,142.8806463461127,0.0,142.8806463461127,0.0,142.8806463461127,0.0,142.8806463461127,0.0,142.8806463461127,0.0,142.8806463461127,0.0,142.8806463461127,0.0,142.8806463461127,0.0,2.294041727936873,0.0,2.219960929318688,0.0,2.219960929318688,0.0,2.219960929318688,0.0,2.219960929318688,0.0,2.219960929318688,0.0,2.219960929318688,0.0,2.219960929318688,0.0,2.219960929318688,0.0,2.219960929318688,0.0
Acker,5.0,0.0,2.23606797749979,0.0,9.19147173960294,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.186293086528825,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.0,0.0,2.0,0.0,321.72291021574154,0.0,322.481524140447,0.0,322.481524140447,0.0,322.481524140447,0.0,322.481524140447,0.0,322.481524140447,0.0,322.481524140447,0.0,322.481524140447,0.0,322.4454975831061,0.0,322.4454975831061,0.0,,,25.484127351948455,0.0,132.44313683120194,0.0,132.44313683120194,0.0,132.44313683120194,0.0,132.44313683120194,0.0,132.44313683120194,0.0,132.44313683120194,0.0,132.44313683120194,0.0,125.3978138179141,0.0,125.3978138179141,0.0,2.186293086528032,0.0,2.219960929317565,0.0,2.219960929317565,0.0,2.219960929317565,0.0,2.219960929317565,0.0,2.219960929317565,0.0,2.219960929317565,0.0,2.219960929317565,0.0,1.9855760478985716,0.0,1.9855760478985716,0.0
Adern,5.0,0.0,2.23606797749979,0.0,9.384116636713854,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.2299153251445776,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.0,0.0,2.0,0.0,476.28613853770315,0.0,477.1797621769621,0.0,477.1797621769621,0.0,477.1797621769621,0.0,477.1797621769621,0.0,477.1797621769621,0.0,477.1797621769621,0.0,477.1797621769621,0.0,477.1447554758115,0.0,477.1447554758115,0.0,,,27.655559234384672,0.0,132.9092985035667,0.0,132.9092985035667,0.0,132.9092985035667,0.0,132.9092985035667,0.0,132.9092985035667,0.0,132.9092985035667,0.0,132.9092985035667,0.0,116.55228405455557,0.0,116.55228405455557,0.0,2.229915325145186,0.0,2.2199609293192455,0.0,2.2199609293192455,0.0,2.2199609293192455,0.0,2.2199609293192455,0.0,2.2199609293192455,0.0,2.2199609293192455,0.0,2.2199609293192455,0.0,1.985681850160003,0.0,1.985681850160003,0.0
Adler,5.0,0.0,2.23606797749979,0.0,9.153498198896102,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.1775913114027836,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.0,0.0,2.0,0.0,472.4492648347761,0.0,473.2531289011839,0.0,473.2531289011839,0.0,473.2531289011839,0.0,473.2531289011839,0.0,473.2531289011839,0.0,473.2531289011839,0.0,473.2531289011839,0.0,473.22858061874473,0.0,473.22858061874473,0.0,,,25.94216463066038,0.0,132.54316827256417,0.0,132.54316827256417,0.0,132.54316827256417,0.0,132.54316827256417,0.0,132.54316827256417,0.0,132.54316827256417,0.0,132.54316827256417,0.0,125.54265762139023,0.0,125.54265762139023,0.0,2.1775913114021717,0.0,2.219960929317786,0.0,2.219960929317786,0.0,2.219960929317786,0.0,2.219960929317786,0.0,2.219960929317786,0.0,2.219960929317786,0.0,2.219960929317786,0.0,1.9855760478984672,0.0,1.9855760478984672,0.0
Adria,5.0,0.0,2.23606797749979,0.0,9.673958984887669,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,2.293984460603093,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,485.3301702245582,0.0,486.334984273848,0.0,486.334984273848,0.0,486.334984273848,0.0,486.334984273848,0.0,486.334984273848,0.0,486.334984273848,0.0,486.334984273848,0.0,486.334984273848,0.0,486.334984273848,0.0,,,27.136142409253704,0.0,132.8594357436884,0.0,132.8594357436884,0.0,132.8594357436884,0.0,132.8594357436884,0.0,132.8594357436884,0.0,132.8594357436884,0.0,132.8594357436884,0.0,132.8594357436884,0.0,132.8594357436884,0.0,2.2939844606025552,0.0,2.2199609293188107,0.0,2.2199609293188107,0.0,2.2199609293188107,0.0,2.2199609293188107,0.0,2.2199609293188107,0.0,2.2199609293188107,0.0,2.2199609293188107,0.0,2.2199609293188107,0.0,2.2199609293188107,0.0
Affen,5.0,0.0,2.23606797749979,0.0,8.927411825309674,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.1250453044371707,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,1.7320508075688772,0.0,1.7320508075688772,0.0,551.2751048391855,0.0,552.2083510909803,0.0,552.2083510909803,0.0,552.2083510909803,0.0,552.2083510909803,0.0,552.2083510909803,0.0,552.2083510909803,0.0,552.2083510909803,0.0,552.157061678197,0.0,552.157061678197,0.0,,,33.714020534188236,0.0,134.628064611336,0.0,134.628064611336,0.0,134.628064611336,0.0,134.628064611336,0.0,134.628064611336,0.0,134.628064611336,0.0,134.628064611336,0.0,107.35152869619729,0.0,107.35152869619729,0.0,2.1250453044373785,0.0,2.2199609293182085,0.0,2.2199609293182085,0.0,2.2199609293182085,0.0,2.2199609293182085,0.0,2.2199609293182085,0.0,2.2199609293182085,0.0,2.2199609293182085,0.0,1.7196563971740046,0.0,1.7196563971740046,0.0
Agenk,5.0,0.0,2.23606797749979,0.0,9.6753505551338,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,2.2942877491140017,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,1368.267241513383,0.0,1369.2399912127307,0.0,1369.2399912127307,0.0,1369.2399912127307,0.0,1369.2399912127307,0.0,1369.2399912127307,0.0,1369.2399912127307,0.0,1369.2399912127307,0.0,1369.2399912127307,0.0,1369.2399912127307,0.0,,,39.07643207054056,0.0,135.65009407602918,0.0,135.65009407602918,0.0,135.65009407602918,0.0,135.65009407602918,0.0,135.65009407602918,0.0,135.65009407602918,0.0,135.65009407602918,0.0,135.65009407602918,0.0,135.65009407602918,0.0,2.2942877491141185,0.0,2.2199609293190576,0.0,2.2199609293190576,0.0,2.2199609293190576,0.0,2.2199609293190576,0.0,2.2199609293190576,0.0,2.2199609293190576,0.0,2.2199609293190576,0.0,2.2199609293190576,0.0,2.2199609293190576,0.0
Agent,5.0,0.0,2.23606797749979,0.0,9.198319303228512,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.187858547490972,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.0,0.0,2.0,0.0,1365.8772481584895,0.0,1366.7971079911335,0.0,1366.7971079911335,0.0,1366.7971079911335,0.0,1366.7971079911335,0.0,1366.7971079911335,0.0,1366.7971079911335,0.0,1366.7971079911335,0.0,1366.7870992854341,0.0,1366.7870992854341,0.0,,,37.11737246762254,0.0,135.14540801728415,0.0,135.14540801728415,0.0,135.14540801728415,0.0,135.14540801728415,0.0,135.14540801728415,0.0,135.14540801728415,0.0,135.14540801728415,0.0,119.33277069840197,0.0,119.33277069840197,0.0,2.1878585474910266,0.0,2.219960929318434,0.0,2.219960929318434,0.0,2.219960929318434,0.0,2.219960929318434,0.0,2.219960929318434,0.0,2.219960929318434,0.0,2.219960929318434,0.0,1.9856818501601685,0.0,1.9856818501601685,0.0
Ahnen,5.0,0.0,2.23606797749979,0.0,8.656126450152646,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,2.0602262426135245,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,1.7320508075688772,0.0,1.4142135623730951,0.0,63.23424177069182,0.0,62.220911647284005,0.0,62.220911647284005,0.0,62.220911647284005,0.0,62.220911647284005,0.0,62.220911647284005,0.0,62.220911647284005,0.0,62.220911647284005,0.0,61.76406392636573,0.0,61.088034508328555,0.0,,,13.641510756246085,0.0,130.76844696023227,0.0,130.76844696023227,0.0,130.76844696023227,0.0,130.76844696023227,0.0,130.76844696023227,0.0,130.76844696023227,0.0,130.76844696023227,0.0,102.5367107437977,0.0,74.84876451341762,0.0,2.0602262426137923,0.0,2.219960929318,0.0,2.219960929318,0.0,2.219960929318,0.0,2.219960929318,0.0,2.219960929318,0.0,2.219960929318,0.0,2.219960929318,0.0,1.7196563971738015,0.0,1.4038934270372634,0.0
Aigön,5.0,0.0,2.23606797749979,0.0,8.959103296836894,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.132488925513492,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,1.7320508075688772,0.0,1.7320508075688772,0.0,230.2696760837401,0.0,230.84794730125097,0.0,230.84794730125097,0.0,230.84794730125097,0.0,230.84794730125097,0.0,230.84794730125097,0.0,230.84794730125097,0.0,230.84794730125097,0.0,230.71142957537813,0.0,230.71142957537813,0.0,,,21.815757688978245,0.0,131.90282339867767,0.0,131.90282339867767,0.0,131.90282339867767,0.0,131.90282339867767,0.0,131.90282339867767,0.0,131.90282339867767,0.0,131.90282339867767,0.0,102.5548943410998,0.0,102.5548943410998,0.0,2.132488925514019,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,1.7194856906039986,0.0,1.7194856906039986,0.0
Akkus,5.0,0.0,2.23606797749979,0.0,9.781224506111409,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,2.317246259401923,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,1693.515626755624,0.0,1694.6232280869142,0.0,1694.6232280869142,0.0,1694.6232280869142,0.0,1694.6232280869142,0.0,1694.6232280869142,0.0,1694.6232280869142,0.0,1694.6232280869142,0.0,1694.6232280869142,0.0,1694.6232280869142,0.0,,,47.42505289265605,0.0,138.28985943781103,0.0,138.28985943781103,0.0,138.28985943781103,0.0,138.28985943781103,0.0,138.28985943781103,0.0,138.28985943781103,0.0,138.28985943781103,0.0,138.28985943781103,0.0,138.28985943781103,0.0,2.3172462594011645,0.0,2.2199609293185403,0.0,2.2199609293185403,0.0,2.2199609293185403,0.0,2.2199609293185403,0.0,2.2199609293185403,0.0,2.2199609293185403,0.0,2.2199609293185403,0.0,2.2199609293185403,0.0,2.2199609293185403,0.0
Aktie,5.0,0.0,2.23606797749979,0.0,9.226690252339786,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.1943326942240504,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.0,0.0,2.0,0.0,1663.6749408167987,0.0,1664.612577805165,0.0,1664.612577805165,0.0,1664.612577805165,0.0,1664.612577805165,0.0,1664.612577805165,0.0,1664.612577805165,0.0,1664.612577805165,0.0,1664.6044529241758,0.0,1664.6044529241758,0.0,,,42.781860857169775,0.0,136.83208411104687,0.0,136.83208411104687,0.0,136.83208411104687,0.0,136.83208411104687,0.0,136.83208411104687,0.0,136.83208411104687,0.0,136.83208411104687,0.0,121.03809932599285,0.0,121.03809932599285,0.0,2.1943326942237493,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,2.2199609293192593,0.0,1.9856818501603393,0.0,1.9856818501603393,0.0
Alahn,5.0,0.0,2.23606797749979,0.0,9.095230655228079,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,2.164171059742938,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.0,0.0,1.7320508075688772,0.0,69.19740604902412,0.0,68.59253595445948,0.0,68.59253595445948,0.0,68.59253595445948,0.0,68.59253595445948,0.0,68.59253595445948,0.0,68.59253595445948,0.0,68.59253595445948,0.0,68.34857888408274,0.0,67.92880039231527,0.0,,,17.446995238957665,0.0,131.25006495511994,0.0,131.25006495511994,0.0,131.25006495511994,0.0,131.25006495511994,0.0,131.25006495511994,0.0,131.25006495511994,0.0,131.25006495511994,0.0,114.71548441503568,0.0,102.44297624924332,0.0,2.164171059743029,0.0,2.2199609293179696,0.0,2.2199609293179696,0.0,2.2199609293179696,0.0,2.2199609293179696,0.0,2.2199609293179696,0.0,2.2199609293179696,0.0,2.2199609293179696,0.0,1.9856818501595166,0.0,1.7196563971736842,0.0
Alarm,5.0,0.0,2.23606797749979,0.0,9.743521278199925,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,2.3090965763260574,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,98.30388084051015,0.0,98.70167235112586,0.0,98.70167235112586,0.0,98.70167235112586,0.0,98.70167235112586,0.0,98.70167235112586,0.0,98.70167235112586,0.0,98.70167235112586,0.0,98.70167235112586,0.0,98.70167235112586,0.0,,,16.72599890478507,0.0,131.18384220031578,0.0,131.18384220031578,0.0,131.18384220031578,0.0,131.18384220031578,0.0,131.18384220031578,0.0,131.18384220031578,0.0,131.18384220031578,0.0,131.18384220031578,0.0,131.18384220031578,0.0,2.3090965763263855,0.0,2.21996092931885,0.0,2.21996092931885,0.0,2.21996092931885,0.0,2.21996092931885,0.0,2.21996092931885,0.0,2.21996092931885,0.0,2.21996092931885,0.0,2.21996092931885,0.0,2.21996092931885,0.0
Alben,5.0,0.0,2.23606797749979,0.0,8.778625178313684,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.089744218538354,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,1.7320508075688772,0.0,1.7320508075688772,0.0,59.142183343228574,0.0,58.04147556486109,0.0,58.04147556486109,0.0,58.04147556486109,0.0,58.04147556486109,0.0,58.04147556486109,0.0,58.04147556486109,0.0,58.04147556486109,0.0,57.551460730614274,0.0,57.551460730614274,0.0,,,11.661761317783869,0.0,130.59772688980462,0.0,130.59772688980462,0.0,130.59772688980462,0.0,130.59772688980462,0.0,130.59772688980462,0.0,130.59772688980462,0.0,130.59772688980462,0.0,102.35653815311908,0.0,102.35653815311908,0.0,2.0897442185389012,0.0,2.2199609293180815,0.0,2.2199609293180815,0.0,2.2199609293180815,0.0,2.2199609293180815,0.0,2.2199609293180815,0.0,2.2199609293180815,0.0,2.2199609293180815,0.0,1.7196563971737047,0.0,1.7196563971737047,0.0
Algen,5.0,0.0,2.23606797749979,0.0,8.79977012598477,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0947973282839474,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,1.7320508075688772,0.0,1.7320508075688772,0.0,60.97558234483436,0.0,59.99073163529747,0.0,59.99073163529747,0.0,59.99073163529747,0.0,59.99073163529747,0.0,59.99073163529747,0.0,59.99073163529747,0.0,59.99073163529747,0.0,59.516767625765354,0.0,59.516767625765354,0.0,,,11.229844601141663,0.0,130.56071501608787,0.0,130.56071501608787,0.0,130.56071501608787,0.0,130.56071501608787,0.0,130.56071501608787,0.0,130.56071501608787,0.0,130.56071501608787,0.0,102.28260146683887,0.0,102.28260146683887,0.0,2.094797328284748,0.0,2.2199609293185567,0.0,2.2199609293185567,0.0,2.2199609293185567,0.0,2.2199609293185567,0.0,2.2199609293185567,0.0,2.2199609293185567,0.0,2.2199609293185567,0.0,1.7196563971736412,0.0,1.7196563971736412,0.0
Alibi,5.0,0.0,2.23606797749979,0.0,9.685299687666609,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,2.296454965434202,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.23606797749979,0.0,221.62683122097698,0.0,222.57246397572916,0.0,222.57246397572916,0.0,222.57246397572916,0.0,222.57246397572916,0.0,222.57246397572916,0.0,222.57246397572916,0.0,222.57246397572916,0.0,222.57246397572916,0.0,222.57246397572916,0.0,,,21.693255968506683,0.0,131.94085155195796,0.0,131.94085155195796,0.0,131.94085155195796,0.0,131.94085155195796,0.0,131.94085155195796,0.0,131.94085155195796,0.0,131.94085155195796,0.0,131.94085155195796,0.0,131.94085155195796,0.0,2.2964549654341493,0.0,2.2199609293189857,0.0,2.2199609293189857,0.0,2.2199609293189857,0.0,2.2199609293189857,0.0,2.2199609293189857,0.0,2.2199609293189857,0.0,2.2199609293189857,0.0,2.2199609293189857,0.0,2.2199609293189857,0.0
